month,total,leisure,total_%,leisure_%
1/1/2001,"3245000","671000",2.40,5.60
2/1/2001,"3053000","557000",2.3,4.6
3/1/2001,"3054000","558000",2.3,4.7
4/1/2001,"3163000","605000",2.4,5
5/1/2001,"2993000","574000",2.3,4.8
6/1/2001,"2878000","551000",2.2,4.6
7/1/2001,"2947000","563000",2.2,4.6
8/1/2001,"2928000","596000",2.2,4.9
9/1/2001,"2703000","563000",2.1,4.7
10/1/2001,"2795000","536000",2.1,4.5
11/1/2001,"2560000","466000",2,3.9
12/1/2001,"2559000","483000",2,4
1/1/2002,"2845000","542000",2.2,4.5
2/1/2002,"2572000","523000",2,4.4
3/1/2002,"2493000","534000",1.9,4.5
4/1/2002,"2624000","525000",2,4.4
5/1/2002,"2537000","513000",1.9,4.3
6/1/2002,"2522000","488000",1.9,4.1
7/1/2002,"2561000","484000",2,4.1
8/1/2002,"2561000","476000",2,4
9/1/2002,"2521000","491000",1.9,4.1
10/1/2002,"2423000","457000",1.9,3.8
11/1/2002,"2403000","433000",1.8,3.6
12/1/2002,"2501000","471000",1.9,3.9
1/1/2003,"2429000","473000",1.9,3.9
2/1/2003,"2490000","501000",1.9,4.1
3/1/2003,"2394000","470000",1.8,3.9
4/1/2003,"2279000","466000",1.8,3.9
5/1/2003,"2291000","443000",1.8,3.7
6/1/2003,"2315000","483000",1.8,4
7/1/2003,"2271000","467000",1.7,3.8
8/1/2003,"2195000","430000",1.7,3.5
9/1/2003,"2354000","399000",1.8,3.3
10/1/2003,"2415000","485000",1.9,4
11/1/2003,"2411000","489000",1.8,4
12/1/2003,"2444000","468000",1.9,3.8
1/1/2004,"2354000","435000",1.8,3.5
2/1/2004,"2448000","485000",1.9,3.9
3/1/2004,"2582000","517000",2,4.2
4/1/2004,"2534000","490000",1.9,3.9
5/1/2004,"2428000","521000",1.8,4.2
6/1/2004,"2659000","502000",2,4
7/1/2004,"2609000","504000",2,4
8/1/2004,"2586000","516000",2,4.1
9/1/2004,"2531000","489000",1.9,3.9
10/1/2004,"2550000","496000",1.9,3.9
11/1/2004,"2789000","547000",2.1,4.3
12/1/2004,"2695000","555000",2,4.4
1/1/2005,"2732000","543000",2.1,4.3
2/1/2005,"2651000","526000",2,4.1
3/1/2005,"2747000","517000",2.1,4.1
4/1/2005,"2741000","533000",2.1,4.2
5/1/2005,"2763000","544000",2.1,4.2
6/1/2005,"2754000","518000",2.1,4
7/1/2005,"2735000","597000",2,4.6
8/1/2005,"2957000","592000",2.2,4.6
9/1/2005,"3046000","626000",2.3,4.9
10/1/2005,"2863000","636000",2.1,5
11/1/2005,"2895000","581000",2.1,4.5
12/1/2005,"2849000","558000",2.1,4.3
1/1/2006,"2945000","611000",2.2,4.7
2/1/2006,"2965000","594000",2.2,4.6
3/1/2006,"2956000","577000",2.2,4.4
4/1/2006,"2778000","499000",2,3.8
5/1/2006,"3002000","580000",2.2,4.4
6/1/2006,"3042000","642000",2.2,4.9
7/1/2006,"3047000","571000",2.2,4.4
8/1/2006,"3056000","592000",2.2,4.5
9/1/2006,"2888000","582000",2.1,4.4
10/1/2006,"2983000","591000",2.2,4.5
11/1/2006,"3043000","594000",2.2,4.5
12/1/2006,"2999000","610000",2.2,4.6
1/1/2007,"2956000","592000",2.1,4.4
2/1/2007,"2933000","584000",2.1,4.4
3/1/2007,"2997000","601000",2.2,4.5
4/1/2007,"2911000","622000",2.1,4.6
5/1/2007,"3010000","552000",2.2,4.1
6/1/2007,"2910000","636000",2.1,4.7
7/1/2007,"2951000","633000",2.1,4.7
8/1/2007,"3014000","604000",2.2,4.5
9/1/2007,"2691000","448000",1.9,3.3
10/1/2007,"2926000","622000",2.1,4.6
11/1/2007,"2784000","594000",2,4.4
12/1/2007,"2773000","590000",2,4.4
1/1/2008,"2847000","588000",2.1,4.3
2/1/2008,"2881000","560000",2.1,4.1
